student_id,attendance_percentage,assessment_score,assignment_completion_rate,login_frequency,study_hours,activity_count,communication_score,course_progress_percentage,forum_participation,video_completion_rate,peer_interaction_score,risk_category
STU0272,46.15,56.23,59.53,19.93,12.23,16,58.74,85.85,13,100.0,49.22,Medium Risk
STU0273,92.94,52.84,42.83,13.26,5.87,39,51.46,34.57,2,27.7,71.51,High Risk
STU0274,72.18,65.61,48.41,5.34,6.45,29,28.86,18.95,1,48.18,49.7,High Risk
STU0275,54.33,45.43,29.56,10.77,3.5,12,59.26,98.18,15,65.01,47.31,High Risk
STU0276,80.32,45.46,67.97,14.68,9.51,25,77.6,76.25,8,63.65,28.02,Medium Risk
STU0277,75.58,77.23,58.03,21.28,17.84,21,50.26,78.35,10,55.91,75.49,Low Risk
STU0278,61.2,44.32,50.67,12.53,11.13,23,60.9,41.31,9,66.22,41.57,High Risk
STU0279,73.26,76.99,68.64,4.33,4.54,21,61.01,81.23,24,40.29,33.26,Medium Risk
STU0280,65.06,73.33,77.28,14.45,12.54,31,28.5,71.06,22,75.86,59.26,Low Risk
STU0281,74.04,33.94,100.0,14.91,6.73,23,100.0,30.14,2,16.93,39.66,High Risk
STU0282,83.92,52.8,39.76,15.49,13.5,19,44.64,96.33,7,67.43,44.48,Medium Risk
STU0283,100.0,86.49,93.19,21.36,11.23,30,69.43,68.49,18,54.79,60.17,Low Risk
STU0284,49.72,47.34,89.46,22.15,0.5,22,71.92,56.29,16,90.36,48.47,Medium Risk
STU0285,100.0,56.64,54.42,9.25,3.98,21,51.93,56.68,11,100.0,100.0,Medium Risk
STU0286,36.86,73.32,74.06,9.07,11.78,23,68.35,20.67,2,60.72,53.5,High Risk
STU0287,69.27,79.1,60.85,5.68,8.61,19,60.41,78.05,6,98.6,67.36,Medium Risk
STU0288,82.59,60.47,73.71,19.59,3.9,20,23.81,70.76,7,61.05,16.17,Medium Risk
STU0289,77.06,54.24,100.0,25.59,5.47,14,47.69,60.73,14,46.75,37.79,Low Risk
STU0290,60.79,90.6,82.11,11.48,0.5,12,41.52,93.13,25,100.0,33.26,Low Risk
STU0291,68.25,96.3,80.17,12.07,7.65,10,44.84,34.56,6,79.46,35.91,Medium Risk
STU0292,63.13,82.62,61.39,25.73,16.84,6,26.31,51.87,3,68.1,63.31,Medium Risk
STU0293,61.39,66.54,40.32,18.04,11.22,11,79.78,46.3,11,83.12,75.71,High Risk
STU0294,87.29,50.45,65.83,17.49,16.76,18,90.24,58.87,20,74.03,61.89,Low Risk
STU0295,78.43,50.05,94.13,4.47,11.53,21,76.52,66.48,0,66.48,50.47,Medium Risk
STU0296,59.53,74.41,39.46,19.43,12.11,17,82.95,74.46,23,38.82,42.38,Medium Risk
STU0297,88.19,72.53,48.9,6.57,15.9,1,47.42,57.37,10,62.05,77.27,Medium Risk
STU0298,77.53,90.23,72.53,4.93,9.51,35,41.0,45.7,6,81.71,96.43,Low Risk
STU0299,86.63,76.71,50.31,11.23,7.25,30,37.87,100.0,0,65.3,57.7,Medium Risk
STU0300,83.33,37.94,54.15,9.31,12.13,24,69.17,100.0,17,87.85,73.79,Medium Risk
STU0301,57.08,83.94,61.53,12.23,13.82,39,60.0,68.15,10,76.44,61.87,Medium Risk
STU0302,61.92,47.03,42.69,2.47,6.08,10,53.3,48.35,13,48.68,70.11,High Risk
STU0303,85.45,58.09,50.52,21.67,5.11,38,83.49,97.46,4,38.98,31.71,Medium Risk
STU0304,82.99,69.5,84.07,23.02,8.56,10,63.91,33.17,9,64.54,45.24,Low Risk
STU0305,71.62,100.0,43.85,1.0,11.33,22,36.55,57.63,8,56.47,62.91,Medium Risk
STU0306,74.11,100.0,38.04,21.83,11.19,7,40.02,49.69,11,75.4,79.25,Medium Risk
STU0307,95.0,75.92,57.4,7.52,2.3,20,70.0,39.49,6,52.2,38.64,Medium Risk
STU0308,61.35,61.7,84.64,20.86,15.65,23,77.92,58.84,0,54.46,14.33,Medium Risk
STU0309,81.85,74.62,66.06,13.45,5.44,18,67.14,45.99,33,91.17,45.03,Low Risk
STU0310,68.36,80.98,60.71,14.23,6.94,27,96.73,65.28,1,71.26,75.2,Medium Risk
STU0311,68.08,59.23,70.89,12.52,4.39,20,90.97,65.6,13,52.54,23.32,Medium Risk
STU0312,91.78,97.31,35.09,23.7,18.79,14,64.7,51.33,0,68.39,31.46,Low Risk
STU0313,86.86,69.14,79.89,4.08,8.97,14,36.55,56.85,0,98.34,58.12,Medium Risk
STU0314,86.64,73.96,77.67,18.86,4.6,28,26.18,59.92,12,74.46,52.68,Low Risk
STU0315,95.5,76.99,61.81,22.81,11.46,13,46.48,82.82,13,81.04,66.89,Low Risk
STU0316,72.38,72.59,90.12,19.73,11.08,29,71.57,61.73,22,51.45,30.43,Low Risk
STU0317,84.28,80.1,47.45,32.6,7.25,32,95.19,83.14,15,90.58,48.5,Low Risk
STU0318,66.42,53.89,92.56,9.77,11.36,3,64.18,77.89,10,100.0,78.9,Low Risk
STU0319,77.83,54.95,73.09,21.66,4.7,31,80.71,77.57,4,50.59,31.14,Medium Risk
STU0320,69.66,45.2,63.27,13.15,6.03,40,49.6,95.53,23,42.0,84.54,Medium Risk
STU0321,73.75,72.91,69.6,23.87,0.5,22,68.7,40.37,19,71.86,33.65,Medium Risk
STU0322,82.71,79.02,67.85,13.94,2.7,25,73.11,54.59,2,87.26,71.99,Low Risk
STU0323,57.27,73.24,94.41,10.9,15.23,30,11.45,100.0,12,65.99,47.54,Low Risk
STU0324,100.0,95.14,48.47,24.45,14.57,17,45.9,59.34,13,44.83,32.1,Low Risk
STU0325,53.89,64.9,54.75,10.07,8.26,21,75.89,3.07,9,65.61,45.06,High Risk
STU0326,50.14,77.04,90.73,2.7,14.65,6,61.04,60.53,18,81.16,65.9,Medium Risk
STU0327,92.85,45.35,58.09,9.87,7.36,21,28.68,67.97,18,59.05,54.86,High Risk
STU0328,86.25,58.03,88.01,18.95,7.03,24,1.54,7.42,10,81.36,77.37,Medium Risk
STU0329,83.23,77.52,100.0,25.14,8.23,25,46.95,94.35,9,93.62,83.71,Low Risk
STU0330,83.31,80.28,61.96,14.89,7.5,30,53.43,49.3,23,73.29,31.34,Low Risk
STU0331,71.78,59.71,83.63,24.55,7.14,12,35.55,72.23,19,67.39,29.87,Medium Risk
STU0332,55.85,63.71,46.93,3.13,12.57,14,58.15,60.03,12,86.25,28.9,High Risk
STU0333,73.36,37.68,85.09,10.45,8.6,38,66.14,36.66,0,49.17,37.02,High Risk
STU0334,59.81,58.57,73.99,11.69,10.85,18,69.76,41.45,14,47.0,77.08,High Risk
STU0335,89.55,81.03,79.46,13.08,12.13,22,3.17,44.43,17,62.14,66.21,Low Risk
STU0336,69.35,75.35,57.09,14.67,9.55,19,26.09,88.88,0,57.18,44.1,High Risk
STU0337,57.14,74.01,36.78,19.53,4.12,11,48.3,61.75,14,50.33,54.78,High Risk
STU0338,66.22,65.9,80.07,10.44,2.59,36,67.59,53.52,8,100.0,83.09,Medium Risk
STU0339,79.43,65.13,28.73,15.11,8.6,14,65.76,44.44,10,100.0,93.16,High Risk
STU0340,61.85,53.11,63.65,13.64,7.31,8,65.38,91.32,4,60.22,60.19,High Risk
STU0341,57.2,77.58,88.82,6.59,8.35,15,46.56,97.21,10,70.02,1.81,Low Risk
STU0342,76.39,72.58,73.84,13.09,7.94,1,47.79,91.06,23,63.87,60.95,Low Risk
STU0343,76.41,73.86,100.0,12.85,18.33,13,38.98,75.83,8,92.36,73.69,Low Risk
STU0344,62.88,55.53,90.5,12.68,2.68,10,71.9,71.38,19,96.72,59.49,Medium Risk
STU0345,63.52,26.24,56.92,14.25,0.5,26,34.75,38.25,5,28.9,69.53,High Risk
STU0346,76.18,84.75,70.55,14.61,9.33,13,73.7,59.59,18,78.47,62.14,Low Risk
STU0347,45.93,56.38,69.05,10.54,6.49,28,59.57,49.96,12,39.25,30.31,High Risk
STU0348,46.67,49.47,38.36,24.18,9.26,33,54.01,24.84,14,100.0,37.28,High Risk
STU0349,59.07,77.48,51.19,4.64,10.34,27,40.55,88.25,12,77.69,48.58,Medium Risk
STU0350,68.16,57.94,58.78,8.23,13.14,17,25.18,49.69,17,49.89,76.31,High Risk
STU0351,77.6,84.08,29.28,36.24,1.97,21,40.75,91.31,0,62.69,39.68,Medium Risk
STU0352,98.56,76.11,70.95,5.7,5.77,4,47.74,84.4,0,61.64,64.12,Low Risk
STU0353,87.44,77.3,65.02,3.17,9.72,18,2.88,77.25,15,79.55,61.07,Medium Risk
STU0354,69.12,40.41,36.54,19.88,11.08,11,50.66,78.48,0,90.92,86.72,High Risk
STU0355,71.66,86.81,78.08,1.0,16.77,26,75.34,51.46,7,42.74,54.17,Low Risk
STU0356,53.95,69.7,84.32,12.12,11.82,45,67.48,100.0,11,100.0,19.9,Low Risk
STU0357,71.67,58.35,74.54,31.17,7.77,24,44.08,65.95,5,100.0,67.94,Low Risk
STU0358,66.8,67.58,63.52,1.64,4.44,1,56.03,71.64,6,48.74,97.76,High Risk
STU0359,77.81,33.03,81.83,1.0,5.74,16,42.76,50.72,14,69.6,69.25,High Risk
STU0360,57.11,72.36,83.6,2.01,5.63,21,58.27,44.51,20,100.0,39.25,Medium Risk
STU0361,81.35,46.47,76.15,21.19,10.62,20,88.88,75.5,4,95.12,33.36,Low Risk
STU0362,99.59,40.65,53.51,23.0,9.03,12,76.31,69.79,7,60.59,35.94,Medium Risk
STU0363,70.04,37.6,75.53,9.9,2.71,22,66.46,47.63,6,85.92,95.07,High Risk
STU0364,79.23,85.03,93.91,19.47,6.26,7,44.16,33.35,0,100.0,48.45,Low Risk
STU0365,84.42,53.67,58.07,25.12,11.51,10,71.5,37.06,13,70.31,41.75,Medium Risk
STU0366,64.78,92.61,100.0,28.3,9.41,26,17.89,91.31,19,54.08,51.83,Low Risk
STU0367,76.03,55.36,59.49,12.03,10.27,9,49.45,51.51,20,71.79,48.66,High Risk
STU0368,72.23,34.27,70.65,1.0,9.53,25,67.84,57.54,5,73.42,86.35,High Risk
STU0369,73.76,44.9,56.55,7.43,14.51,6,71.29,96.91,1,56.46,34.71,High Risk
STU0370,58.09,87.24,74.47,10.59,8.94,37,69.74,40.31,12,77.72,78.61,Low Risk
STU0371,72.44,62.19,35.16,11.93,6.46,12,61.49,49.01,18,40.4,57.44,High Risk
STU0372,80.96,55.13,59.08,12.5,4.34,17,50.69,48.09,13,53.36,79.14,High Risk
STU0373,98.12,67.88,48.16,22.95,9.0,23,66.84,100.0,14,84.68,86.65,Low Risk
STU0374,89.27,74.03,72.71,24.2,0.5,14,34.04,100.0,21,29.39,56.7,Low Risk
STU0375,100.0,85.11,89.89,12.63,7.26,21,36.42,81.53,6,87.87,48.7,Low Risk
STU0376,58.19,91.07,82.92,22.79,7.18,25,56.36,82.23,10,23.74,56.32,Low Risk
STU0377,87.7,58.52,22.57,16.86,2.54,29,58.81,52.23,25,29.91,53.1,High Risk
STU0378,75.3,41.13,100.0,14.52,4.29,27,14.84,100.0,10,57.02,21.86,Medium Risk
STU0379,100.0,57.56,75.91,21.25,11.24,18,65.01,70.89,1,74.31,86.05,Low Risk
STU0380,57.45,69.69,54.47,14.58,8.92,18,72.0,83.77,6,97.16,59.92,Medium Risk
STU0381,56.89,47.65,73.14,30.46,8.41,43,53.3,62.68,4,69.27,31.74,Medium Risk
STU0382,61.21,47.77,73.52,2.49,9.23,29,100.0,59.1,14,62.58,13.65,Medium Risk
STU0383,33.77,71.19,56.66,9.88,8.37,10,39.98,100.0,4,80.75,8.45,High Risk
STU0384,62.54,64.12,73.96,12.99,12.97,20,47.06,76.87,14,48.84,70.41,Medium Risk
STU0385,58.34,65.59,57.85,17.52,8.49,16,46.31,96.93,6,71.07,42.62,High Risk
STU0386,74.71,51.35,61.91,24.14,2.17,18,53.32,70.62,0,41.61,45.9,High Risk
STU0387,78.15,60.85,56.27,13.8,14.52,7,47.77,46.34,14,69.82,64.76,High Risk
STU0388,100.0,48.36,41.35,2.62,9.48,15,24.05,52.17,13,65.14,44.68,High Risk
STU0389,89.11,81.02,72.92,20.74,5.64,38,42.98,67.27,16,50.31,65.93,Low Risk
STU0390,61.62,83.63,81.71,20.04,2.99,25,52.85,51.22,6,71.63,56.91,Medium Risk
STU0391,55.83,31.77,80.3,1.0,9.58,1,82.03,40.64,5,71.49,53.32,High Risk
STU0392,80.85,48.27,86.4,13.97,7.53,32,100.0,91.43,15,93.86,23.54,Low Risk
STU0393,48.24,38.06,76.49,1.28,14.3,30,84.38,53.01,24,32.68,38.61,High Risk
STU0394,100.0,53.3,59.35,8.68,6.62,16,37.94,68.04,12,66.33,67.05,Medium Risk
STU0395,93.23,63.5,86.79,6.78,4.65,27,39.69,71.51,15,51.27,41.36,Low Risk
STU0396,63.55,38.91,42.85,20.47,11.58,11,51.49,52.06,9,87.13,79.11,High Risk
STU0397,41.16,48.41,51.99,14.93,11.7,15,94.26,96.92,0,84.59,100.0,High Risk
STU0398,96.37,46.93,50.72,3.72,8.67,34,51.36,40.42,19,79.17,68.13,Medium Risk
STU0399,69.94,68.73,91.6,21.04,10.71,17,25.79,70.76,19,52.52,84.86,Low Risk
STU0400,94.28,66.25,88.86,2.53,7.85,1,43.97,70.41,17,87.48,69.41,Low Risk
STU0401,43.3,52.01,79.75,16.64,8.94,19,71.66,63.81,10,34.34,44.31,High Risk
STU0402,61.21,68.18,91.44,7.49,12.66,19,70.18,36.47,16,29.82,59.0,Medium Risk
STU0403,72.09,55.16,52.41,11.07,10.5,31,50.6,84.16,19,39.93,95.27,High Risk
STU0404,72.85,60.11,76.97,18.03,7.32,20,70.04,81.36,24,67.26,44.53,Low Risk
STU0405,63.9,95.12,67.5,18.17,13.41,15,4.99,50.14,19,82.85,34.21,Medium Risk
STU0406,83.21,89.13,86.94,24.7,0.5,30,57.28,80.56,12,2.53,32.32,Low Risk
STU0407,52.78,41.61,67.7,13.34,16.21,21,73.94,73.25,1,97.1,50.65,High Risk
STU0408,69.44,79.94,62.3,16.45,1.18,12,36.68,36.83,13,70.88,34.93,High Risk
STU0409,74.17,79.61,80.82,10.5,5.49,31,36.6,46.21,14,33.51,88.48,Medium Risk
STU0410,81.26,44.33,87.52,15.46,7.84,21,13.94,90.04,17,70.22,59.33,Medium Risk
STU0411,84.81,79.74,56.63,17.52,7.41,20,89.98,71.81,22,92.04,74.43,Low Risk
STU0412,51.76,92.68,68.78,13.21,12.03,21,39.16,52.59,11,81.19,49.03,Medium Risk
STU0413,44.39,44.79,48.83,1.0,3.77,9,60.3,46.11,28,92.18,32.2,High Risk
STU0414,95.0,48.48,20.04,16.65,9.04,14,68.29,53.66,0,37.94,28.81,High Risk
STU0415,77.98,83.32,74.01,16.92,5.69,20,88.27,55.22,15,58.89,36.84,Low Risk
STU0416,58.53,69.89,82.18,8.56,9.18,18,51.61,46.39,5,47.66,61.95,High Risk
STU0417,99.92,74.93,75.24,3.72,7.74,32,43.13,26.68,0,100.0,65.4,Low Risk
STU0418,74.08,71.13,31.01,25.81,8.37,22,58.81,90.08,10,82.07,67.06,Medium Risk
STU0419,93.23,72.03,62.98,17.93,5.8,28,83.25,86.35,0,100.0,25.23,Low Risk
STU0420,73.22,41.12,25.63,12.17,5.96,20,51.26,36.99,10,57.71,54.99,High Risk
STU0421,100.0,83.85,97.39,4.9,9.15,30,33.99,68.0,12,52.06,34.48,Low Risk
STU0422,100.0,86.05,48.28,7.43,11.77,23,21.1,45.15,20,64.86,63.03,Low Risk
STU0423,67.52,60.87,95.11,24.42,5.61,20,28.13,59.25,0,98.32,64.58,Medium Risk
STU0424,89.49,64.22,88.92,15.1,4.52,19,74.02,57.42,19,59.95,31.56,Low Risk
STU0425,83.62,37.44,51.99,9.6,10.45,10,47.95,55.59,12,70.74,74.36,High Risk
STU0426,96.64,74.26,47.34,18.08,7.87,25,41.63,100.0,20,70.13,100.0,Low Risk
STU0427,54.63,75.3,77.01,7.48,11.32,19,39.25,55.31,8,68.87,71.7,High Risk
STU0428,84.35,63.88,53.11,26.01,4.38,14,56.87,47.22,1,53.65,51.74,High Risk
STU0429,91.05,85.24,72.05,24.82,0.88,31,49.73,48.22,2,64.98,48.67,Low Risk
STU0430,40.34,58.99,60.34,10.27,5.87,7,48.99,87.96,1,64.04,50.82,High Risk
STU0431,50.7,75.16,34.38,8.97,4.93,15,84.69,28.65,15,67.83,39.79,High Risk
STU0432,35.29,46.65,25.39,1.0,7.68,30,88.84,48.22,23,88.76,60.05,High Risk
STU0433,67.15,64.58,74.53,2.15,5.45,23,19.58,96.83,7,100.0,32.23,Medium Risk
STU0434,84.92,61.86,58.77,3.28,10.96,19,62.21,70.37,17,49.51,17.21,Medium Risk
STU0435,99.04,69.06,58.94,15.08,6.85,22,37.91,69.22,0,59.38,59.39,Medium Risk
STU0436,73.33,58.35,83.92,11.39,8.6,21,49.54,100.0,13,49.85,55.42,Medium Risk
STU0437,100.0,62.63,93.47,3.24,8.63,4,61.8,70.42,17,72.12,43.58,Low Risk
STU0438,47.16,79.87,64.55,11.75,8.78,16,50.32,49.42,0,56.16,29.35,High Risk
STU0439,41.34,57.14,63.19,18.04,7.9,36,60.07,58.79,10,73.28,60.79,High Risk
STU0440,71.0,36.08,80.0,18.22,10.04,13,69.81,40.02,17,92.28,35.2,Medium Risk
STU0441,78.91,96.49,42.86,1.0,4.82,16,61.48,92.63,0,12.43,52.22,High Risk
STU0442,71.41,89.87,74.46,12.97,13.6,14,40.77,77.64,22,78.82,90.3,Low Risk
STU0443,34.79,41.74,81.04,2.93,7.05,19,41.16,89.74,14,57.88,68.02,High Risk
STU0444,70.4,77.41,83.6,21.21,2.75,14,23.33,91.69,17,78.13,27.62,Low Risk
STU0445,48.52,55.95,31.26,20.27,8.75,24,36.21,55.89,8,48.28,29.5,High Risk
STU0446,84.05,69.74,54.77,6.82,4.6,21,98.17,44.22,0,94.32,58.04,Medium Risk
STU0447,78.6,70.3,52.43,7.87,10.66,27,37.58,63.86,16,88.09,27.49,Medium Risk
STU0448,55.08,60.78,72.0,10.31,16.84,9,28.75,45.8,11,80.5,14.97,High Risk
STU0449,62.75,50.89,79.61,1.0,4.85,16,62.04,68.63,12,85.45,65.65,High Risk
STU0450,52.93,52.57,99.93,16.69,9.33,17,52.57,89.91,20,51.6,61.42,Medium Risk
STU0451,70.87,48.51,60.1,11.82,0.98,24,50.7,61.3,18,54.37,64.01,High Risk
STU0452,89.19,50.03,60.05,21.76,9.82,12,86.0,68.3,27,84.55,60.26,Low Risk
STU0453,54.26,63.79,92.99,5.21,4.46,29,67.08,62.94,13,51.11,53.69,Medium Risk
STU0454,81.07,52.12,75.93,9.05,5.5,31,43.34,82.66,6,99.8,41.76,Medium Risk
STU0455,62.46,77.28,95.35,1.95,3.59,10,45.66,50.31,10,60.88,65.32,Medium Risk
STU0456,57.73,91.77,75.77,5.97,10.93,15,43.94,16.68,15,79.04,85.6,Medium Risk
STU0457,70.07,54.56,46.86,4.54,12.03,14,74.24,75.36,20,100.0,44.98,Medium Risk
STU0458,53.37,69.31,43.34,21.97,8.09,46,48.22,86.73,0,52.46,34.59,High Risk
STU0459,62.03,73.99,38.97,8.41,4.54,15,15.55,74.82,12,69.51,32.3,High Risk
STU0460,50.44,73.5,83.24,14.99,14.36,36,53.94,50.91,24,91.19,37.67,Low Risk
STU0461,100.0,66.37,93.77,10.95,5.0,7,21.19,40.03,10,88.93,59.05,Low Risk
STU0462,72.63,78.37,100.0,3.84,0.5,10,100.0,75.88,19,60.79,12.21,Low Risk
STU0463,59.4,73.68,86.86,12.65,9.83,13,33.76,68.11,15,56.63,63.78,Medium Risk
STU0464,75.85,42.72,93.26,18.79,3.58,11,51.44,62.23,19,62.87,67.88,Medium Risk
STU0465,69.98,80.64,58.4,4.34,11.95,17,60.68,100.0,5,99.85,19.04,Low Risk
STU0466,68.02,80.97,46.87,20.47,6.48,12,48.65,44.17,5,61.86,35.42,High Risk
STU0467,83.06,51.26,87.0,7.2,10.41,11,48.62,100.0,12,69.72,56.59,Low Risk
STU0468,85.64,65.68,78.35,10.14,13.61,31,64.28,65.7,0,58.61,52.13,Low Risk
STU0469,62.45,77.3,72.15,18.25,3.16,32,88.58,24.62,9,83.52,65.39,Medium Risk
STU0470,61.64,61.23,77.75,8.69,5.74,29,71.89,61.06,14,71.42,52.18,Medium Risk
STU0471,67.05,84.31,76.46,14.3,7.7,25,87.53,86.11,26,45.92,80.3,Low Risk
STU0472,30.57,100.0,95.68,11.48,14.15,20,31.97,56.97,15,46.69,48.58,Medium Risk
STU0473,44.73,50.85,95.9,15.03,5.37,15,61.98,32.55,17,24.03,35.34,High Risk
STU0474,96.6,40.14,80.88,1.0,5.62,10,58.42,61.38,21,49.71,33.73,Medium Risk
STU0475,100.0,70.47,86.92,1.0,9.91,23,62.72,46.14,4,85.47,69.71,Low Risk
STU0476,67.52,77.99,80.28,18.93,5.69,8,85.28,75.82,10,97.12,55.59,Low Risk
STU0477,82.38,60.84,60.78,22.3,8.61,10,50.14,82.01,31,83.08,67.67,Low Risk
STU0478,77.6,91.16,85.13,6.72,1.79,31,46.08,41.76,11,80.2,67.26,Low Risk
STU0479,100.0,40.91,42.11,12.05,16.86,39,66.75,49.47,20,65.22,14.6,Medium Risk
STU0480,92.15,77.47,91.08,16.36,2.61,23,15.88,81.65,19,85.05,32.2,Low Risk
STU0481,69.7,54.09,46.11,19.55,6.71,31,49.79,46.11,0,74.3,34.59,High Risk
STU0482,54.8,95.95,75.72,1.0,7.87,17,52.05,41.19,14,100.0,38.68,Medium Risk
STU0483,43.08,100.0,53.1,6.91,15.65,6,34.75,39.07,13,65.83,46.59,High Risk
STU0484,75.66,51.2,81.07,11.34,2.7,26,78.26,72.74,14,97.55,74.98,Low Risk
STU0485,58.39,55.11,69.32,19.63,15.93,25,31.63,71.8,5,87.23,78.97,Medium Risk
STU0486,46.4,80.47,38.1,33.99,11.03,20,52.01,49.95,3,84.18,49.14,High Risk
STU0487,60.36,58.03,78.41,12.18,9.67,17,61.45,65.11,8,23.75,49.97,High Risk
STU0488,52.53,64.18,58.44,2.74,4.06,29,84.78,98.6,11,88.44,40.89,Medium Risk
STU0489,100.0,65.46,87.62,17.22,10.28,10,54.77,43.57,21,65.19,56.78,Low Risk
STU0490,87.87,30.45,70.03,24.57,5.11,12,75.6,22.06,26,58.23,59.05,Medium Risk
STU0491,71.86,64.75,77.91,14.86,13.07,9,70.41,75.01,23,35.38,71.13,Medium Risk
STU0492,98.64,52.58,50.85,6.75,4.12,20,57.72,62.57,18,67.88,70.97,Medium Risk
STU0493,73.39,56.12,58.21,21.66,7.55,9,31.03,49.38,3,68.74,8.96,High Risk
STU0494,56.5,90.99,60.83,19.31,5.78,13,23.44,79.35,8,39.33,51.95,High Risk
STU0495,99.42,42.38,87.13,5.79,4.05,12,57.34,83.46,13,35.59,82.68,Medium Risk
STU0496,81.7,79.64,100.0,17.05,10.97,17,43.06,16.42,6,78.71,46.24,Low Risk
STU0497,53.33,59.98,53.9,21.98,10.14,5,75.22,50.64,16,87.18,77.78,High Risk
STU0498,68.57,59.96,91.54,23.46,12.84,20,71.41,100.0,17,72.19,48.87,Low Risk
STU0499,56.24,79.23,26.61,13.47,0.88,32,50.94,77.83,16,93.32,58.5,High Risk
STU0500,47.11,71.12,46.12,11.14,12.26,21,29.53,79.87,20,66.1,32.26,High Risk
STU0501,88.67,75.27,50.82,23.82,18.02,35,66.24,90.8,4,66.8,33.02,Low Risk
STU0502,100.0,82.43,42.95,4.32,6.19,33,32.61,65.38,19,47.83,69.51,Medium Risk
STU0503,46.83,59.04,38.33,17.51,15.58,27,38.31,82.53,6,33.67,72.64,High Risk
STU0504,82.13,53.98,78.26,3.04,6.95,20,33.45,80.8,4,100.0,55.53,Medium Risk
STU0505,60.29,45.47,65.72,22.52,2.51,20,51.95,76.86,16,92.89,30.45,Medium Risk
STU0506,63.23,50.14,77.59,11.94,6.78,27,80.74,57.92,21,37.36,55.88,Medium Risk
STU0507,61.34,100.0,83.81,24.15,12.19,16,54.89,68.79,15,71.43,80.14,Low Risk
STU0508,56.45,87.4,75.31,17.93,4.65,1,45.25,52.06,12,65.8,89.86,Medium Risk
STU0509,72.87,40.68,83.16,4.21,5.6,24,21.44,65.28,14,61.97,48.67,High Risk
STU0510,57.04,41.2,68.61,25.4,10.37,8,67.15,39.29,13,59.0,21.8,High Risk
STU0511,76.87,73.67,46.26,26.41,8.01,10,37.83,47.61,2,76.39,71.81,High Risk
STU0512,71.1,74.85,91.16,21.06,10.34,20,57.59,58.79,2,86.0,49.48,Low Risk
STU0513,67.7,74.88,58.22,7.91,8.95,19,47.21,44.24,11,76.85,73.86,High Risk
STU0514,55.66,60.41,51.29,11.55,9.92,5,73.44,53.89,12,65.35,60.62,High Risk
STU0515,61.62,62.74,66.44,15.16,6.27,21,51.54,61.39,12,64.54,37.33,High Risk
STU0516,85.6,70.9,51.74,8.37,8.93,29,53.7,73.85,17,88.61,56.16,Low Risk
STU0517,81.02,66.55,61.65,27.54,4.29,8,65.69,85.88,10,78.2,81.17,Low Risk
STU0518,54.4,25.05,76.88,15.15,13.15,32,100.0,54.8,16,69.6,52.02,High Risk
STU0519,73.79,60.86,76.97,1.0,5.46,4,74.55,94.37,10,67.21,34.3,Medium Risk
STU0520,85.52,49.67,52.04,16.71,12.52,41,53.05,85.65,26,75.6,23.23,Low Risk
STU0521,41.95,68.15,60.25,11.21,7.07,15,55.07,76.09,12,57.7,39.56,High Risk
STU0522,81.78,100.0,91.49,13.4,8.81,21,43.45,68.38,30,86.07,46.8,Low Risk
STU0523,60.07,71.61,79.93,11.05,6.02,1,34.1,72.02,14,44.33,71.4,High Risk
STU0524,82.27,59.36,100.0,20.46,3.94,19,42.84,91.12,10,58.95,32.58,Low Risk
STU0525,58.26,81.59,93.6,22.96,1.02,22,38.01,91.92,4,81.44,86.08,Low Risk
STU0526,39.51,73.69,92.89,16.26,3.78,19,69.37,94.37,0,43.08,28.26,Medium Risk
STU0527,42.7,72.56,42.24,11.29,6.7,14,31.43,65.91,4,33.39,100.0,High Risk
STU0528,72.87,75.92,85.28,13.67,8.85,10,84.33,77.21,4,69.39,89.51,Low Risk
STU0529,76.68,100.0,68.94,14.16,12.04,31,71.55,94.56,15,30.68,57.82,Low Risk
STU0530,55.72,44.64,58.98,7.58,6.22,20,55.45,51.28,7,39.43,22.05,High Risk
STU0531,83.49,73.53,73.36,18.63,4.47,35,55.01,57.99,13,84.65,53.89,Low Risk
STU0532,42.09,48.33,88.9,17.68,2.23,14,42.74,65.35,22,63.49,47.26,High Risk
STU0533,70.81,75.0,80.02,26.32,9.92,15,60.94,84.79,11,96.28,29.51,Low Risk
STU0534,50.2,48.46,52.43,24.04,13.53,28,78.94,85.13,28,41.49,60.82,High Risk
STU0535,60.27,57.49,84.85,8.51,13.07,3,39.53,59.92,2,65.93,38.53,High Risk
STU0536,72.85,59.69,57.25,20.56,10.84,7,21.27,31.81,10,76.79,40.7,High Risk
STU0537,56.51,82.56,74.33,6.39,10.55,30,70.47,70.42,7,42.25,50.93,Medium Risk
STU0538,65.08,81.53,63.93,19.57,14.79,8,62.14,44.8,19,90.7,43.5,Low Risk
STU0539,90.11,42.58,65.62,9.87,9.33,1,30.36,32.22,0,79.23,96.56,High Risk
STU0540,61.62,65.99,85.32,5.81,10.58,38,38.87,37.19,0,32.6,44.29,High Risk
STU0541,87.04,52.23,49.2,16.24,6.72,6,36.1,72.18,11,67.17,63.82,High Risk
STU0542,51.67,42.35,100.0,1.0,2.55,21,39.06,94.94,24,76.49,57.91,Medium Risk
STU0543,81.54,61.09,33.58,1.0,5.26,20,47.88,65.86,13,55.02,62.06,High Risk
